1514176251569|-1||debug||com.p6spy.engine.common.P6SpyOptions reloading properties
1514177207059|160|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514177207060|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514177207060|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514177207060|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514177207060|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514177207060|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514177207060|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514177207061|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514177207061|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514177207061|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514177207061|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514177207062|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514177207062|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514177207062|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514177207062|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514177207500|0|statement|connection 1|/* from Student s where s.sname='小红' */ select student0_.sid as sid1_1_, student0_.sname as sname2_1_, student0_.sage as sage3_1_ from happy.STUDENT student0_ where student0_.sname='小红'|/* from Student s where s.sname='小红' */ select student0_.sid as sid1_1_, student0_.sname as sname2_1_, student0_.sage as sage3_1_ from happy.STUDENT student0_ where student0_.sname='小红'
1514177207503|0|commit|connection 1||
1514269650749|198|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514269650766|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514269650767|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514269699538|223|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514269699540|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514269699540|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514269699540|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514269699540|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514269699540|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514269699541|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514269699541|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514269699541|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514269699541|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514269699541|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514269699543|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514269699543|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514269699543|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514269699543|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514269721135|202|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514269721137|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514269721138|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514269721138|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514269721138|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514269721138|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514269721138|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514269748689|156|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514269748691|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514269748692|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514269748692|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514269748692|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514269748692|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514269748692|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514269748693|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514269804517|160|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514269804518|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514269804518|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514269804518|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514269804519|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514269804520|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514269804520|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514269804520|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514269804520|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514269909857|156|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514269909858|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514269909858|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514269909858|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514269909858|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514269909858|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514269909858|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514269909859|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514269909859|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514269909859|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514269909859|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514269909860|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514269909860|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
1514269909860|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_SEQ
1514269909860|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = XDB$NAMESUFF_SEQ
1514270102923|154|statement|connection 0| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|
1514270102924|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DBMS_MVSEQ
1514270102924|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = DM$EXPIMP_ID_SEQ
1514270102924|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HIBERNATE_SEQUENCE
1514270102924|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = HS_BULK_SEQ
1514270102925|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SAMPLE_SEQ
1514270102925|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SCHEDULER$_JOBSUFFIX_S
1514270102925|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_GEOR_SEQ
1514270102925|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_IDX_TAB_SEQUENCE
1514270102925|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_NDM_ID_SEQ
1514270102925|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = SDO_WS_CONFERENCE_IDS
1514270102926|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = TMP_COORD_OPS
1514270102926|0|resultset|connection -1| select sequence_name from all_sequences  union select synonym_name   from all_synonyms us, all_sequences asq  where asq.sequence_name = us.table_name    and asq.sequence_owner = us.table_owner|1 = WWV_FLOW_SESSION_SEQ
